Time,TFS-EE-226-BU-1_SUC-P.PV,TFS-EE-226-BU-2_SUC-P.PV,TFS-EE-226-BU-1_DISCH-P.PV,TFS-EE-226-BU-2_DISCH-P.PV,TFS-EE-176-MB_FC-HDR-DEN-OBS.PV,TFS-EE-176-MB_FC2-HDR-T.PV,TFS-EE-176-MB_FC2-HDR-GSF.PV,TFS-EE-176-MTR_OUT-P.PV,MLN-EE-76-U-1_SUC-P.PV,MLN-EE-76-U-2_SUC-P.PV,MLN-EE-76-U-1_CAS-P.PV,MLN-EE-76-U-2_CAS-P.PV,MLN-EE-76_DISCH-P.SP,MLN-EE-76_DISCH-P-CTRL.PV,MLN-EE-76_T.PV,MLN-EE-76_FLW.PV,TFS-EE-176-MB_FC-HDR-DEN-COR.PV,TFS-EE-176-MB_FC-HDR-T.PV,MLN-IZ-76_HLD-P.SP,MLN-IZ-76_HLD-P-CTRL.PV,MLN-EE-76-PCV_POS.PV,TFS-EE-209-V-1523_VLV.ST
2022-08-30 00:00:53,58.55776596,58.42270279,59.25421906,661.7797241,689.0,11.75599289,103,638.5594482,-6.178017616,619.8345947,-17.14307785,7092.00293,3000,2992.797607,16.74636078,103.2524109,686.4920044,11.76846027,1250,1253.831177,28.63167,CLOSED
2022-08-30 00:00:54,58.55976486,58.42518997,59.24921036,661.7988892,689.0,11.75984001,103,638.5978394,-6.173930645,619.866333,-17.15462112,7090.846191,3000,2992.606934,16.74512482,103.2746429,686.4900513,11.76864815,1250,1253.853516,28.6329174,CLOSED
2022-08-30 00:00:55,58.56175995,58.42767334,59.24420166,661.840271,689.0,11.75592136,103,638.4993286,-6.169843674,619.8981323,-17.16616249,7089.689453,3000,2992.41626,16.74388695,103.296875,686.487915,11.76883698,1250,1253.875732,28.63416481,CLOSED
2022-08-30 00:00:56,58.56375504,58.43015671,59.23918915,661.8829346,689.0,11.75166607,103,638.3927002,-6.165756702,619.9299316,-17.17770576,7088.532715,3000,2992.225586,16.74265099,103.3191071,686.4858398,11.7690258,1250,1253.897949,28.63541222,CLOSED
2022-08-30 00:00:57,58.56575394,58.43264389,59.23418045,661.9255981,689.0,11.74741077,103,638.2860107,-6.172046661,619.7501831,-17.18925476,7096.109375,3000,2993.650391,16.74163246,103.461319,686.4837036,11.76921463,1250,1253.920166,28.6579895,CLOSED
2022-08-30 00:00:58,58.56774902,58.43512726,59.22916794,661.9682617,689.0,11.74315453,103,638.1793823,-6.178778648,619.8571777,-17.20086479,7096.640625,3000,2993.678223,16.74280548,103.5455399,686.4815674,11.7694025,1250,1253.942383,28.64373207,CLOSED
2022-08-30 00:00:59,58.56974792,58.43761063,59.22415924,661.9949341,689.0,11.74033546,103,638.1201172,-6.185510159,619.9641724,-17.21247482,7097.171387,3000,2993.705811,16.74398041,103.6297607,686.4810181,11.76959133,1250,1253.9646,28.62947655,CLOSED
2022-08-30 00:01:00,58.57174301,58.44009399,59.21915054,661.9752808,689.0,11.74163342,103,638.1988525,-6.187418461,620.010437,-17.22408676,7097.460938,3000,2993.733398,16.74515533,103.6887207,686.4849243,11.76978016,1250,1253.963623,28.62236595,CLOSED
2022-08-30 00:01:01,58.5737381,58.44258118,59.21413803,661.9555664,689.0,11.74293137,103,638.2776489,-6.182593822,619.9718628,-17.23569679,7097.413086,3000,2993.76123,16.74632835,103.7123718,686.4888916,11.76996899,1250,1253.935303,28.62526131,CLOSED
2022-08-30 00:01:02,58.575737,58.44506454,59.20912933,661.9359131,689.0,11.74422932,103,638.3564453,-6.177768707,619.9332275,-17.24730873,7097.364746,3000,2993.788818,16.74750328,103.7360229,686.4928589,11.77015781,1250,1253.90686,28.62815857,CLOSED
